Label,Region,Dice Score
2,Left cerebral white matter,0.9251
4,Left lateral ventricle,0.9398
5,Left inferior lateral ventricle,0.7481
7,Left cerebellum white matter,0.8609
8,Left cerebellum cortex,0.8937
10,Left thalamus,0.9309
11,Left caudate,0.8948
12,Left putamen,0.8599
13,Left pallidum,0.8021
14,3rd ventricle,0.8481
15,4th ventricle,0.8534
16,Brain-stem,0.8942
17,Left hippocampus,0.9036
18,Left amygdala,0.9036
24,CSF,0.7219
26,Left accumbens area,0.7697
28,Left ventral DC,0.8658
41,Right cerebral white matter,0.9305
43,Right lateral ventricle,0.9314
44,Right inferior lateral ventricle,0.7433
46,Right cerebellum white matter,0.8661
47,Right cerebellum cortex,0.8991
49,Right thalamus,0.9293
50,Right caudate,0.9065
51,Right putamen,0.8706
52,Right pallidum,0.8506
53,Right hippocampus,0.8920
54,Right amygdala,0.9001
58,Right accumbens area,0.8034
60,Right ventral DC,0.8747
1001,Left banks STS,0.8591
1002,Left caudal anterior cingulate,0.8552
1003,Left caudal middle frontal,0.8554
1005,Left cuneus,0.8198
1006,Left entorhinal,0.8518
1007,Left fusiform,0.8587
1008,Left inferior parietal,0.8690
1009,Left inferior temporal,0.8431
1010,Left isthmus cingulate,0.8530
1011,Left lateral occipital,0.8389
1012,Left lateral orbitofrontal,0.8716
1013,Left lingual,0.7642
1014,Left medial orbitofrontal,0.8287
1015,Left middle temporal,0.8630
1016,Left parahippocampal,0.8869
1017,Left paracentral,0.8658
1018,Left pars opercularis,0.8618
1019,Left pars orbitalis,0.8152
1020,Left pars triangularis,0.8284
1021,Left pericalcarine,0.5526
1022,Left postcentral,0.8521
1023,Left posterior cingulate,0.8791
1024,Left precentral,0.8791
1025,Left precuneus,0.8392
1026,Left rostral anterior cingulate,0.8548
1027,Left rostral middle frontal,0.8645
1028,Left superior frontal,0.8788
1029,Left superior parietal,0.8389
1030,Left superior temporal,0.8571
1031,Left supramarginal,0.8527
1032,Left frontal pole,0.7081
1033,Left temporal pole,0.8428
1034,Left transverse temporal,0.8320
1035,Left insula,0.8941
2001,Right banks STS,0.7977
2002,Right caudal anterior cingulate,0.8705
2003,Right caudal middle frontal,0.8859
2005,Right cuneus,0.8206
2006,Right entorhinal,0.8872
2007,Right fusiform,0.8840
2008,Right inferior parietal,0.8584
2009,Right inferior temporal,0.8272
2010,Right isthmus cingulate,0.8600
2011,Right lateral occipital,0.8516
2012,Right lateral orbitofrontal,0.8672
2013,Right lingual,0.8321
2014,Right medial orbitofrontal,0.8234
2015,Right middle temporal,0.8491
2016,Right parahippocampal,0.8648
2017,Right paracentral,0.8848
2018,Right pars opercularis,0.8769
2019,Right pars orbitalis,0.8578
2020,Right pars triangularis,0.8390
2021,Right pericalcarine,0.8156
2022,Right postcentral,0.8424
2023,Right posterior cingulate,0.8901
2024,Right precentral,0.8729
2025,Right precuneus,0.8664
2026,Right rostral anterior cingulate,0.8428
2027,Right rostral middle frontal,0.8835
2028,Right superior frontal,0.8970
2029,Right superior parietal,0.8573
2030,Right superior temporal,0.8552
2031,Right supramarginal,0.8332
2032,Right frontal pole,0.7749
2033,Right temporal pole,0.8633
2034,Right transverse temporal,0.8096
2035,Right insula,0.8951
